gen,best_J,mean_J,std_J,goals,cols,oobs,timeouts,best_cells,best_steps,best_dist,ep_time,stag
41,-205.07,-115.85,40.38,0,0,0,20,0.894,0.888,1.106,8,200,93.64,0
42,-204.42,-109.12,54.87,0,0,0,20,0.891,0.885,1.109,9,200,92.98,1
43,-220.24,-125.12,50.68,0,0,0,20,0.958,0.958,1.042,6,200,93.84,0
44,-219.15,-122.74,50.84,0,0,0,20,0.953,0.953,1.047,8,200,94.88,1
45,-222.87,-117.19,48.42,0,0,0,20,0.969,0.969,1.031,7,200,94.16,0
46,-234.20,-123.84,59.39,0,0,0,20,1.018,1.018,0.982,7,200,92.98,0
47,-232.96,-115.87,51.60,0,0,0,20,1.013,1.013,0.987,8,200,94.32,1
48,-231.85,-122.79,45.71,0,0,0,20,1.008,1.008,0.992,8,200,92.79,2
49,-230.04,-111.44,62.02,0,1,0,19,1.000,1.000,1.000,8,200,94.38,3
50,-232.37,-96.36,60.71,0,0,0,20,1.010,1.010,0.990,8,200,93.77,4
51,-230.63,-113.28,53.01,0,0,0,20,1.003,1.003,0.997,8,200,94.73,5
52,-232.98,-102.00,59.48,0,0,0,20,1.013,1.013,0.987,8,200,94.16,6
53,-223.32,-94.10,62.87,0,0,0,20,0.971,0.971,1.029,5,200,94.22,7
54,-232.69,-96.44,68.24,0,0,0,20,1.012,1.012,0.988,6,200,94.65,8
55,-231.54,-104.73,62.43,0,0,0,20,1.007,1.007,0.993,8,200,93.93,9
56,-232.29,-105.91,55.16,0,0,0,20,1.010,1.010,0.990,8,200,94.77,10
57,-234.21,-88.43,75.66,0,1,0,19,1.018,1.018,0.982,8,200,94.75,0
58,-204.55,-68.88,66.48,0,1,0,19,0.893,0.883,1.107,6,200,93.83,1
59,-233.90,-97.98,56.38,0,0,0,20,1.017,1.017,0.983,6,200,94.06,2
60,-231.40,-103.26,71.71,0,0,0,20,1.006,1.006,0.994,8,200,93.07,3
61,-232.28,-90.62,76.94,0,0,0,20,1.010,1.010,0.990,8,200,94.35,4
62,-233.89,-89.51,66.96,0,0,0,20,1.017,1.017,0.983,8,200,93.93,5
63,-233.67,-65.38,76.77,0,1,0,19,1.016,1.016,0.984,8,200,94.59,6
64,-232.27,-88.83,69.58,0,0,0,20,1.010,1.010,0.990,8,200,94.17,7
65,-230.62,-107.23,68.71,0,0,0,20,1.003,1.003,0.997,8,200,94.64,8
66,-231.91,-85.53,72.35,0,0,0,20,1.008,1.008,0.992,8,200,93.83,9
67,-232.47,-66.46,66.91,0,0,0,20,1.011,1.011,0.989,8,200,92.98,10
68,-230.18,-93.88,74.15,0,0,0,20,1.001,1.001,0.999,8,200,93.82,1
69,-233.39,-83.61,78.17,0,1,0,19,1.015,1.015,0.985,8,200,94.10,2
70,-230.21,-112.89,60.48,0,0,0,20,1.001,1.001,0.999,8,200,94.20,3
71,-232.94,-95.66,71.98,0,0,0,20,1.013,1.013,0.987,8,200,94.73,4
72,-229.80,-99.31,72.30,0,0,0,20,0.999,0.999,1.001,8,200,94.70,5
73,-232.06,-117.80,54.80,0,0,0,20,1.009,1.009,0.991,8,200,94.77,6
74,-232.90,-118.73,69.86,0,0,0,20,1.013,1.013,0.987,8,200,94.49,7
75,-232.81,-118.92,64.73,0,0,0,20,1.012,1.012,0.988,8,200,93.65,8
76,-231.69,-87.39,75.23,0,0,0,20,1.007,1.007,0.993,8,200,94.01,9
77,-233.29,-84.77,81.71,0,1,0,19,1.014,1.014,0.986,8,200,94.89,10
78,-232.83,-78.99,70.05,0,0,0,20,1.012,1.012,0.988,8,200,94.89,1
79,-232.24,-64.17,72.30,0,0,0,20,1.010,1.010,0.990,8,200,94.22,2
80,-231.10,-70.84,72.71,0,0,0,20,1.005,1.005,0.995,8,200,94.80,3
81,-233.42,-70.18,81.47,0,0,0,20,1.015,1.015,0.985,8,200,94.56,4
82,-233.02,-100.78,67.14,0,0,0,20,1.013,1.013,0.987,8,200,94.28,5
83,-231.70,-85.16,78.60,0,0,0,20,1.007,1.007,0.993,6,200,94.31,6
84,-232.52,-88.79,75.74,0,0,0,20,1.011,1.011,0.989,8,200,94.50,7
85,-231.65,-96.73,77.46,0,0,0,20,1.007,1.007,0.993,8,200,94.61,8
86,-231.22,-71.80,73.10,0,0,0,20,1.005,1.005,0.995,8,200,94.17,9
87,-233.43,-89.77,66.31,0,0,0,20,1.015,1.015,0.985,8,200,94.73,10
88,-233.31,-100.14,67.22,0,0,0,20,1.014,1.014,0.986,8,200,94.05,1
89,-231.46,-107.43,68.61,0,1,0,19,1.006,1.006,0.994,8,200,94.80,2
90,-168.72,-100.87,47.37,0,0,0,20,0.734,0.734,1.266,6,200,94.64,3
91,-196.06,-76.78,57.77,0,0,0,20,0.849,0.859,1.151,6,200,94.76,4
92,-205.86,-79.23,63.31,0,0,0,20,0.892,0.901,1.108,9,200,94.53,5
93,-194.04,-93.95,48.49,0,0,0,20,0.849,0.833,1.151,6,200,94.81,6
94,-195.00,-80.41,51.39,0,0,0,20,0.849,0.846,1.151,7,200,94.32,7
95,-148.01,-88.27,52.51,0,0,0,20,0.645,0.641,1.355,4,200,94.65,8
96,-159.19,-106.88,42.07,0,0,0,20,0.692,0.692,1.308,4,200,94.19,9
97,-195.10,-100.60,54.48,0,0,0,20,0.856,0.834,1.144,7,200,93.69,10
98,-194.81,-84.87,48.84,0,0,0,20,0.852,0.837,1.148,7,200,94.68,1
99,-156.73,-81.86,46.89,0,0,0,20,0.682,0.681,1.318,4,200,94.35,2
100,-155.92,-98.52,43.69,0,0,0,20,0.678,0.677,1.322,5,200,94.22,3
101,-155.56,-84.49,60.55,0,2,0,18,0.677,0.676,1.323,5,200,94.12,4
102,-187.28,-84.39,64.30,0,0,0,20,0.814,0.814,1.186,7,200,94.48,5
103,-187.28,-99.81,49.01,0,0,0,20,0.811,0.821,1.189,6,200,94.74,6
104,-186.53,-88.93,53.09,0,0,0,20,0.811,0.811,1.189,6,200,94.17,7
105,-209.87,-97.22,58.11,0,0,0,20,0.913,0.911,1.087,7,200,94.67,8
106,-211.89,-125.83,58.55,0,1,0,19,0.922,0.921,1.078,8,200,94.72,9
107,-227.91,-98.10,60.19,0,0,0,20,0.991,0.991,1.009,5,200,94.72,10
108,-218.06,-81.90,61.50,0,0,0,20,0.948,0.948,1.052,7,200,94.89,1
109,-216.20,-97.47,52.28,0,0,0,20,0.940,0.940,1.060,7,200,94.38,2
110,-224.08,-110.21,53.27,0,0,0,20,0.974,0.975,1.026,6,200,94.40,3
111,-222.83,-82.88,58.85,0,0,0,20,0.969,0.969,1.031,7,200,94.49,4
112,-223.78,-93.32,59.66,0,0,0,20,0.973,0.973,1.027,7,200,94.69,5
113,-222.79,-110.14,49.48,0,0,0,20,0.969,0.969,1.031,7,200,94.63,6
114,-223.48,-81.71,64.62,0,0,0,20,0.971,0.972,1.029,7,200,94.75,7
115,-223.20,-94.11,65.31,0,0,0,20,0.970,0.971,1.030,7,200,94.93,8
116,-223.69,-95.23,63.74,0,0,0,20,0.973,0.973,1.027,7,200,94.64,9
117,-223.40,-103.01,58.29,0,0,0,20,0.971,0.972,1.029,8,200,93.80,10
118,-223.17,-90.28,60.22,0,0,0,20,0.970,0.971,1.030,7,200,94.83,1
